program_id,channel_id,start,end,fitness
ch1373_ruturaj_dropped_ind_vs_nz_squa_17874,1373,17874,17899,69
ch1060_today_breaking_news_top_100_ne_17901,1060,17901,17941,62
ch1582_news_live_17943,1582,17943,17963,47
ch505_kairali_news_live_17963,505,17963,18063,60
ch943_02_january_2026_aaj_ki_50_sabs_18064,943,18064,18184,75
ch91_bullhorn_betty_breaking_news_t_18185,91,18185,18260,112
ch455_an_breaking_news_live_stream_18261,455,18261,18321,110
ch1602_disney_parks_live_breaking_new_18327,1602,18327,18352,52
ch586_cnn_live_stream_hd_president_t_18352,586,18352,18392,55
ch463_live_kannada_news_11_am_05_01__18392,463,18392,18412,116
ch1554_breaking_news_from_united_stat_18412,1554,18412,18512,126
ch1496_current_affairs_today_4_5_jan__18516,1496,18516,18636,74
ch683_sportbar_news_live_live_18636,683,18636,18711,84
ch521_today_breaking_news_top_100_ne_18712,521,18712,18952,71
ch1107_fox_news_live_stream_now_presi_18952,1107,18952,19012,109
ch205_kairali_news_live_19012,205,19012,19087,51
ch569_an_breaking_news_live_stream_19089,569,19089,19149,114
ch1543_bullhorn_betty_breaking_news_t_19149,1543,19149,19174,107
ch1180_05_jan_current_affairs_2026_cu_19178,1180,19178,19223,77
ch423_breaking_news_from_united_stat_19223,423,19223,19373,108
ch1371_dd_sahyadri_news_live_04_01_20_19373,1371,19373,19448,114
ch159_cnn_live_stream_hd_president_t_19449,159,19449,19524,48
ch901_rocket_morning_news_live_jan_8_19524,901,19524,19624,110
ch747_pm_live_news_pm_kisan_smman_ni_19624,747,19624,19659,103
ch470_nvidia_ceo_jensen_huang_talks__19665,470,19665,19765,60
ch1674_bullhorn_betty_breaking_news_t_19766,1674,19766,19856,165
ch468_film_and_box_office_news_live__19856,468,19856,19956,69
ch739_live_untv_news_break_january_5_19957,739,19957,20032,133
ch1337_fox_news_live_stream_now_presi_20032,1337,20032,20052,136
ch1466_news_live_20053,1466,20053,20203,74
ch1493_grand_theft_venezuela_trump_sn_20203,1493,20203,20278,114
ch1258_breaking_news_watch_today_s_ma_20278,1258,20278,20398,111
ch1262_breaking_news_5_for_bihar_libr_20399,1262,20399,20444,48
ch1576_fox_news_live_president_donald_20444,1576,20444,20464,99
ch883_fox_news_live_president_donald_20464,883,20464,20499,116
ch441_disney_parks_live_breaking_new_20500,441,20500,20650,57
ch1034_live_us_president_trump_on_ven_20650,1034,20650,20680,116
ch1202_kairali_news_live_20681,1202,20681,20921,63
ch393_bullhorn_betty_breaking_news_t_20926,393,20926,20956,109
ch1026_simulated_false_flag_breaking__20957,1026,20957,21057,57
ch1075_times_news_live_s_broadcast_21058,1075,21058,21103,121
ch710_ib_tv_news_live_24x7_ibtv_ap_t_21103,710,21103,21193,120
ch908_disney_parks_live_breaking_new_21193,908,21193,21253,49
ch399_breaking_news_from_united_stat_21255,399,21255,21405,136
ch736_news_live_21405,736,21405,21445,63
ch1302_december_2025_most_expected_cu_21449,1302,21449,21469,84
ch574_marathi_breaking_news_live_mah_21469,574,21469,21569,133
ch470_team_news_live_norwich_city_v__21569,470,21569,21600,80
